config_id,feature_set,scaler,space_type,pca_n_components,algorithm,n_clusters_requested,n_clusters_actual,silhouette_score,davies_bouldin_score,calinski_harabasz_score,cluster_size_min,cluster_size_max,cluster_size_ratio_max,n_singleton_clusters,n_small_clusters,n_rows,n_features_input,n_features_used,n_missing_imputed,explained_variance_ratio_sum,avg_assignment_confidence,min_assignment_confidence,entropy_of_assignment,ranking_score,notes
cfg_0281,with_chaos,identity,pca,3.0,gmm,2,2,0.7107258430995259,1.2706662456459838,157.11684545541647,43,375,0.8971291866028708,0,0,418,25,3,0,0.9996608279675913,0.9867100837430048,0.5695645573752536,0.04346886744220326,0.19525910905486477,
cfg_0282,with_chaos,identity,pca,3.0,gmm,3,3,0.16169877303258834,1.5542573235191401,133.32071719723584,24,202,0.48325358851674644,0,0,418,25,3,0,0.9996608279675913,0.956380589307859,0.5052531573007025,0.11768214769988339,-0.1986194961945061,
cfg_0283,with_chaos,identity,pca,3.0,gmm,4,4,0.159996302889265,1.345376734165979,163.80413241675575,2,201,0.48086124401913877,0,1,418,25,3,0,0.9996608279675913,0.9525023172971747,0.5193374972070532,0.12837225613640324,-0.22885828336061936,
cfg_0284,with_chaos,identity,pca,3.0,gmm,5,5,0.15867102482834328,1.0903230280879694,134.26791990592008,1,201,0.48086124401913877,2,2,418,25,3,0,0.9996608279675913,0.9525023172971742,0.5193374972070227,0.1283722561640382,-0.3766051866070712,
cfg_0285,with_chaos,identity,pca,3.0,gmm,6,6,0.11343633818898387,1.274561774489748,117.71396558743521,1,160,0.3827751196172249,2,2,418,25,3,0,0.9996608279675913,0.8924053977950697,0.35631001727828876,0.2532694637870965,-0.3670440604754821,
cfg_0286,with_chaos,identity,pca,3.0,gmm,7,7,0.12780481541268798,1.0330860763287992,356.75279617472734,2,155,0.3708133971291866,0,3,418,25,3,0,0.9996608279675913,0.8994768200536457,0.4437199339232952,0.27566856078953755,-0.11091080111116033,
cfg_0287,with_chaos,identity,pca,3.0,gmm,8,8,0.11400041498127532,0.9518441483692867,365.2466089650292,1,152,0.36363636363636365,2,4,418,25,3,0,0.9996608279675913,0.894995877772886,0.40349222946782193,0.28677492099111396,-0.2017971702834862,
cfg_0288,with_chaos,identity,pca,3.0,agglomerative,2,2,0.904456677504798,0.47503200118865,457.91842535396006,8,410,0.9808612440191388,0,1,418,25,3,0,0.9996608279675913,,,,0.471069496591595,
cfg_0289,with_chaos,identity,pca,3.0,agglomerative,3,3,0.9007276880064139,0.26790198026709844,471.1534299165341,1,410,0.9808612440191388,1,2,418,25,3,0,0.9996608279675913,,,,0.3528879662950098,
cfg_0290,with_chaos,identity,pca,3.0,agglomerative,4,4,0.770135211657346,0.4183379292373929,438.5315193376224,1,404,0.9665071770334929,1,3,418,25,3,0,0.9996608279675913,,,,0.1910069907933738,
