run_id,repeat_id,split_seed,method,model,horizon,target_metric,feature_set,candidate_set,n_test_series,achieved_metric,best_single_metric,oracle_metric,improvement_vs_best_single,gap_to_oracle,routing_hit_oracle_rate,classification_accuracy,top2_hit_rate,status,notes
meta_modeling_experiments_v1_20260331T185531Z,3,19988,scoring,ridge,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,scoring,random_forest,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,3,19988,scoring,catboost,1,directional_accuracy,full_features,top_6,20,0.6658285688218478,0.6658285688218478,0.6662350728868885,0.0,0.00040650406504065263,0.95,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,ridge,5,rmse,full_features,top_4,20,0.08947177647789002,0.08943831312349838,0.08934533687168969,-3.3463354391642315e-05,0.00012643960620033098,0.5,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,random_forest,5,rmse,full_features,top_4,20,0.08944121479121385,0.08943831312349838,0.08934533687168969,-2.901667715472789e-06,9.587791952416145e-05,0.35,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,regression,catboost,5,rmse,full_features,top_4,20,0.08951094013004043,0.08943831312349838,0.08934533687168969,-7.262700654203682e-05,0.00016560325835072548,0.3,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,logistic_regression,5,rmse,full_features,top_4,20,0.08957132842359909,0.08943831312349838,0.08934533687168969,-0.00013301530010072053,0.0002259915519094092,0.15,0.15,0.3,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,random_forest_classifier,5,rmse,full_features,top_4,20,0.08954025994706175,0.08943831312349838,0.08934533687168969,-0.00010194682356334841,0.00019492307537203707,0.25,0.25,0.45,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,classification,catboost_classifier,5,rmse,full_features,top_4,20,0.08956103002492237,0.08943831312349838,0.08934533687168969,-0.00012271690142399186,0.0002156931532326805,0.2,0.2,0.4,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,ridge,5,rmse,full_features,top_4,20,0.08943831312349838,0.08943831312349838,0.08934533687168969,0.0,9.297625180868866e-05,0.4,,,success,
meta_modeling_experiments_v1_20260331T185531Z,1,42,scoring,random_forest,5,rmse,full_features,top_4,20,0.08946218985965318,0.08943831312349838,0.08934533687168969,-2.3876736154807356e-05,0.000116852987963496,0.4,,,success,
