model,horizon,target_metric,candidate_set,feature_set,balancing_mode,decision_rule,confidence_threshold,n_repeats,achieved_metric_mean,achieved_metric_std,best_single_metric_mean,oracle_metric_mean,improvement_mean,gap_mean,routing_hit_oracle_rate_mean,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,weighted_f1_mean,top2_hit_rate_mean,fallback_rate_mean
catboost_classifier,20,directional_accuracy,top_4,selected_features,default,top_1,,5,0.5144491050011434,0.005719787565046463,0.5116589904239268,0.5280364880130625,0.002790114577216584,0.013587383011919165,0.42666666666666664,0.42666666666666664,0.33088730713730713,0.3060747770015777,0.38289987319605495,0.67,0.0
catboost_classifier,20,directional_accuracy,top_5,full_features,balanced,confidence_fallback_0.50,0.5,5,0.5136443934307712,0.0040308661849404225,0.5116589904239268,0.534941350979192,0.0019854030068444323,0.02129695754842087,0.25,0.25,0.2266759901155413,0.11784609769846321,0.17508024698041552,0.4366666666666667,0.9099999999999999
catboost_classifier,20,directional_accuracy,top_5,full_features,balanced,confidence_fallback_0.60,0.6,5,0.5124336149588484,0.004198714374848641,0.5116589904239268,0.534941350979192,0.0007746245349216366,0.022507736020343665,0.22000000000000003,0.22000000000000003,0.21263121618914044,0.09099233644516595,0.12343138938722671,0.4066666666666666,0.9633333333333333
catboost_classifier,20,directional_accuracy,top_5,full_features,balanced,confidence_fallback_0.70,0.7,5,0.5121827275416831,0.0042450039037744865,0.5116589904239268,0.534941350979192,0.0005237371177563776,0.022758623437508927,0.19666666666666668,0.19666666666666668,0.2030294530154278,0.0692654673503393,0.0775804755653624,0.38333333333333336,0.9933333333333334
catboost_classifier,20,directional_accuracy,top_5,full_features,balanced,confidence_fallback_0.80,0.8,5,0.5116589904239268,0.0045811846700949494,0.5116589904239268,0.534941350979192,0.0,0.0232823605552653,0.19,0.19,0.2,0.06311291528682833,0.06443542356585835,0.37666666666666665,1.0
catboost_classifier,20,directional_accuracy,top_5,full_features,balanced,top_1,,5,0.5160368820594582,0.005401123567624009,0.5116589904239268,0.534941350979192,0.0043778916355314,0.0189044689197339,0.3666666666666667,0.3666666666666667,0.24526365720923926,0.23906009496491318,0.3478449378486349,0.6133333333333333,0.0
catboost_classifier,20,directional_accuracy,top_5,full_features,default,confidence_fallback_0.50,0.5,5,0.5168876112354204,0.0069812237093842405,0.5116589904239268,0.534941350979192,0.005228620811493572,0.01805373974377173,0.3333333333333333,0.3333333333333333,0.2381839934103609,0.168059495388164,0.2903786844070587,0.52,0.6766666666666666
catboost_classifier,20,directional_accuracy,top_5,full_features,default,confidence_fallback_0.60,0.6,5,0.5151283795059756,0.004752616123603664,0.5116589904239268,0.534941350979192,0.003469389082048746,0.019812971473216555,0.2833333333333333,0.2833333333333333,0.238352447739264,0.14018010902806252,0.22601752558097044,0.44000000000000006,0.86
catboost_classifier,20,directional_accuracy,top_5,full_features,default,confidence_fallback_0.70,0.7,5,0.5138214052104904,0.0041332025275103166,0.5116589904239268,0.534941350979192,0.002162414786563578,0.021119945768701725,0.24666666666666667,0.24666666666666667,0.22507852801709743,0.11308232023292142,0.1689227079922802,0.4,0.9366666666666668
catboost_classifier,20,directional_accuracy,top_5,full_features,default,confidence_fallback_0.80,0.8,5,0.5122063801857109,0.004271472351344716,0.5116589904239268,0.534941350979192,0.0005473897617840849,0.02273497079348122,0.2,0.2,0.2046294530154278,0.0725497210455519,0.08423261769695659,0.35333333333333333,0.99
catboost_classifier,20,directional_accuracy,top_5,full_features,default,top_1,,5,0.512623216133049,0.004472533201847095,0.5116589904239268,0.534941350979192,0.0009642257091221155,0.02231813484614319,0.37333333333333335,0.37333333333333335,0.18870709499320998,0.14956554455745805,0.284124274284156,0.62,0.0
