scope,horizon,feature,pearson_corr_mean,spearman_corr_mean,mean_abs_change,median_abs_change,coefficient_of_variation_mean,psi_mean,n_series,stability_score
all,20,hurst_dfa,0.7117449114938502,0.6878433989855767,0.04517758009828461,0.03523050469334646,0.07585745322518976,0.21146069562034273,418,0.6734774915433
all,20,acf_lag_2,0.599605208871086,0.6128651155196932,0.03775841930400559,0.02625293193377442,5.25790487702262,0.11348447280385236,418,0.34429564802836965
all,20,acf_lag_5,0.7010987350520216,0.6954122899166136,0.029978634729909033,0.02259606084419646,4.1413376428085655,0.19207123599530682,418,0.47874184597642
all,20,acf_lag_10,0.7736115803691764,0.7506413637860195,0.024108030356886776,0.017789348489649904,1.628475625087646,0.17408119254759483,418,0.6605135229042575
all,20,acf_lag_25,0.7627963024932853,0.7542233561930303,0.024773641655888738,0.01885584903236196,4.1064862906683475,0.34472635453330946,418,0.5316627239329474
all,20,acf_lag_50,0.6728851773974184,0.6589502010660373,0.0215211547234377,0.015563635357791688,3.5312308755248054,0.1472186107414265,418,0.4750277267527257
all,20,acf_lag_100,0.6564210881720742,0.6607900510848244,0.020225525702275243,0.0146798890855705,3.212070237087616,0.1751819100285382,418,0.49142744372901664
all,20,abs_acf_lag_2,0.5240230891919474,0.5089527218024144,0.06549169241914983,0.04266036990920542,0.32161213676488454,0.2748966273447599,418,0.47912728359693213
all,20,abs_acf_lag_5,0.5912262596496958,0.5925843742221968,0.045500154707815224,0.032278626816403456,0.6034923641087425,0.2608296227857219,418,0.5493682748774736
all,20,abs_acf_lag_10,0.6404009005445318,0.633946577421919,0.04206521986483993,0.029219164161744172,1.0687428091368,0.31883173639632906,418,0.5645678501452625
all,20,abs_acf_lag_25,0.6054245520376881,0.6096769659217528,0.03651413036252093,0.027599171844457752,1.9460323802381816,0.31866431040557647,418,0.49644213138956494
all,20,abs_acf_lag_50,0.5850181398757389,0.5476833912390705,0.03590147866922853,0.028618507101947882,2.4335413775380905,0.4265098154079807,418,0.40468083159176693
all,20,vr_q10,0.8143842264929119,0.8370586695161805,0.10873419633896712,0.0760238091681234,0.11105715049084838,0.11079546513013316,418,0.8259660387351314
all,20,lb_ret_stat_50,0.5852734307504438,0.5554763963092695,26.82142367016324,16.73729708233808,0.22841831778582103,0.3936547455899326,418,0.5243727431404818
all,20,lz_complexity,0.7344631082428834,0.6837897317612261,0.024527452881826273,0.019690571053930572,0.018225873232632195,2.0682546321402495,418,0.5794657064925821
all,20,permutation_entropy,0.6518933251966383,0.5666069790693927,0.001226875803582669,0.0006761637756232397,0.0009855947653617384,0.4676330817370879,418,0.5431760452442702
all,20,spectral_flatness,0.5633060985755729,0.5801171763141039,0.12229267925607933,0.13285245666229945,0.11613252841587585,5.467545517877551,418,0.30093327399943254
all,20,kurtosis,0.6320064014353144,0.6686593491647628,13.837445881085552,3.5122986301486283,0.5001120974504509,0.5506685201559949,418,0.6161203182844405
all,20,robust_kurtosis,0.7954616748749613,0.7803583399966487,0.10823673457381437,0.07163713699650243,0.051849546813243316,0.08684574142166175,418,0.7734235755849035
all,20,tail_ratio_upper,0.814827004222168,0.8583351632975744,1.6226217216123215,0.6959087944226199,0.13708072818172803,0.17600760283310213,418,0.8426807467468329
all,20,hill_tail_index,0.6755058200179347,0.690305970842652,0.5180914984820572,0.36350458982659273,0.13822726330151075,0.39077063093698694,418,0.6638560761307271
all,20,correlation_dimension,0.4448601691703706,0.4154423569205523,0.8715341290188825,0.6934198005610033,0.21335857432216004,0.11877114803699129,418,0.39883587080259475
all,20,embedding_dimension,0.06305811714734509,0.060707667764817876,1.9138755980861244,2.0,0.2189628670957391,0.29841641092995097,418,0.03483870386353337
all,20,selected_delay_tau,0.17277606588231995,0.19734086881276328,1.0510366826156299,1.0,0.24453018222441114,0.05234246089577684,418,0.18249723665675388
RU,1,hurst_rs,0.7494588931047156,0.7675188846241477,0.03567360112202333,0.02568984382641265,0.05368338595691296,0.5165714493428861,209,0.7390061428591578
RU,1,hurst_dfa,0.728448069935637,0.7123538741959794,0.04960947734881496,0.037454163201513124,0.08549006692187425,0.6903142040519508,209,0.6735636606472881
RU,1,acf_lag_2,0.5168568390597369,0.525259389733074,0.05481491779328288,0.04338302791247568,2.9462747344933957,0.35703819541617327,209,0.3600937432375955
RU,1,acf_lag_5,0.5965996078254744,0.5739046041677621,0.03389939133446915,0.024853677874947987,2.784611811516518,0.3061880134348473,209,0.4193646129201939
RU,1,acf_lag_10,0.6662503931843503,0.6159305606674028,0.02778835920728246,0.02026726886413218,3.998463269492249,0.25446040534651626,209,0.40328437692546454
RU,1,acf_lag_25,0.6078483711006729,0.581755087018245,0.026742893365327414,0.02038794663693211,3.5465345632731973,0.3060119371364549,209,0.38912776199776233
RU,1,acf_lag_50,0.6043624660428019,0.5681458891985208,0.024783153981662795,0.018940025889654457,1.8099604370631064,0.27099790357508186,209,0.4640979721666114
RU,1,acf_lag_100,0.5660145783316736,0.5869069526964265,0.022894455428679853,0.01759647840968681,4.7945868265842355,0.17183262668646748,209,0.3385859800328913
RU,1,abs_acf_lag_2,0.5118662411166992,0.4922204987994463,0.09361444689998999,0.07257163419081678,0.4276021503032452,1.4813180086146345,209,0.39677449085355226
RU,1,abs_acf_lag_5,0.5204923200243653,0.5068497292181502,0.05805677981296728,0.04357792273209461,0.49583520007816734,1.4001241343373183,209,0.4120517624973759
RU,1,abs_acf_lag_10,0.5847962251854105,0.5372780728043887,0.05070012684607667,0.03976515441649027,1.276293602664611,1.1110186201660142,209,0.4179124616628574
RU,1,abs_acf_lag_25,0.5747035958309711,0.5055891476944109,0.04120924868454484,0.032408791542827484,1.9963066285715378,0.8091186270072516,209,0.3653178849154714
RU,1,abs_acf_lag_50,0.5271910308272997,0.4895472948104527,0.03713740307434704,0.029275214591185064,2.3713848283571086,0.3759549917787641,209,0.35218030380365906
RU,1,vr_q10,0.7799578840155474,0.805170706486496,0.14349092803597302,0.10948754748144895,0.14316238028902237,0.2699195714353057,209,0.7845166089002796
RU,1,lb_ret_stat_50,0.401530849325229,0.43408039329091963,34.52699130345711,24.598844406997316,0.29355243870838243,1.0918782771543365,209,0.3648088574977837
RU,1,lz_complexity,0.7385834575714956,0.7200120267817215,0.024099352835663935,0.019739946365956662,0.018041153580139635,3.072367486961241,209,0.5654915947546525
RU,1,permutation_entropy,0.6215496998448456,0.5566420421683579,0.0014055729838473145,0.0007795336624064619,0.0011314018640971397,0.4978797827005812,209,0.531691482940124
RU,1,spectral_flatness,0.4496072764283303,0.46749084249084244,0.12102981697646445,0.1329596168082542,0.11647075689736448,5.462230866687551,209,0.18855576131159668
RU,1,kurtosis,0.5203806981783481,0.30275557775557776,22.860823015861843,10.460946911959917,0.6772494054719012,2.6509981864861882,209,0.1363431981576733
RU,1,robust_kurtosis,0.7944083860905149,0.8064361077518972,0.12556992620479404,0.082970312661653,0.057122051679131355,0.19662077301319922,209,0.7937489665172808
